,campaign_id,move,date,bank,tracking_mode,trash_type,lat,lon,municipality,department,state,country,river_name
45,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Bottles,43.90999589999999,-0.6222655999999996,Campet-et-Lamolère,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
46,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.9100027,-0.6227007999999994,Campet-et-Lamolère,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
47,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.909665800000006,-0.6246252,Campet-et-Lamolère,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
48,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.909665800000006,-0.6246252,Campet-et-Lamolère,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
49,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.9094801,-0.6259124000000004,Campet-et-Lamolère,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
50,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.90846050000001,-0.6268228999999993,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
51,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.90846050000001,-0.6268228999999993,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
52,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.90846050000001,-0.6268228999999993,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
53,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.90826750000001,-0.626957999999999,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
54,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.90815910000001,-0.6271055000000001,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
55,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.90815910000001,-0.6271055000000001,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
56,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.907440300000005,-0.6274484000000005,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
57,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.907440300000005,-0.6274484000000005,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
58,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.9065042,-0.6275990999999996,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
59,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.9065042,-0.6275990999999996,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
60,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.90599480000001,-0.6276821999999996,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
61,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.90599480000001,-0.6276821999999996,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
62,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.9056259,-0.6292757999999999,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
63,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.90584139999999,-0.6301143999999991,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
64,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.90609440000001,-0.6303483999999987,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
65,d8859f45-f973-4f19-bc4c-15eebee28d4f,kayak,2022-02-09 13:16:50.279,right,manual,Fragment,43.90609440000001,-0.6303483999999987,Saint-Martin-d'Oney,LANDES,NOUVELLE-AQUITAINE,France,Rivière le Midou
